,Station,Code,Lat-coord,Lng-coord,Randstad,Type,uic
0,'s-Hertogenbosch,HT,51.69048,5.29362,0.0,knooppuntIntercitystation,8400319
1,'s-Hertogenbosch Oost,HTO,51.700553894043,5.3183331489563,0.0,stoptreinstation,8400320
2,'t Harde,HDE,52.4091682,5.893611,0.0,stoptreinstation,8400388
5,Aalten,ATN,51.921326524551,6.5786272287369,0.0,stoptreinstation,8400045
6,Abcoude,AC,52.2785,4.977,1.0,stoptreinstation,8400047
11,Akkrum,AKM,53.046390533447,5.843611240387,0.0,stoptreinstation,8400049
13,Alkmaar,AMR,52.63777923584,4.7397222518921,0.0,knooppuntIntercitystation,8400050
14,Alkmaar Noord,AMRN,52.643890380859,4.7641668319702,0.0,stoptreinstation,8400052
15,Almelo,AML,52.358055114746,6.6538887023926,0.0,knooppuntIntercitystation,8400051
16,Almelo de Riet,AMRI,52.341945648193,6.6666665077209,0.0,stoptreinstation,8400520
17,Almere Buiten,ALMB,52.394165039062,5.2780556678772,1.0,stoptreinstation,8400081
18,Almere Centrum,ALM,52.37503,5.21764,1.0,knooppuntIntercitystation,8400080
19,Almere Muziekwijk,ALMM,52.367500305176,5.1902775764465,1.0,stoptreinstation,8400082
20,Almere Oostvaarders,ALMO,52.403331756592,5.3005557060242,1.0,stoptreinstation,8400226
21,Almere Parkwijk,ALMP,52.376667022705,5.244722366333,1.0,stoptreinstation,8400104
22,Almere Poort,AMPO,52.342778,5.151944,1.0,stoptreinstation,8400450
23,Alphen a/d Rijn,APN,52.124443054199,4.6577777862549,1.0,knooppuntIntercitystation,8400053
25,Amersfoort Centraal,AMF,52.153888702393,5.3705554008484,1.0,knooppuntIntercitystation,8400055
26,Amersfoort Schothorst,AMFS,52.174822137451,5.4038887023926,0.0,stoptreinstation,8400054
27,Amersfoort Vathorst,AVAT,52.192779541016,5.4338889122009,0.0,stoptreinstation,8400228
28,Amsterdam Amstel,ASA,52.346668243408,4.9177780151367,1.0,intercitystation,8400057
29,Amsterdam Bijlmer ArenA,ASB,52.3122215271,4.9469442367554,1.0,knooppuntStoptreinstation,8400074
30,Amsterdam Centraal,ASD,52.378887176514,4.9002776145935,1.0,megastation,8400058
31,Amsterdam Holendrecht,ASHD,52.29844,4.95972,1.0,stoptreinstation,8400231
