,From,To,Seats
154,ZTM,YPB,104062.0
155,YPB,VB,104062.0
156,VB,GVC,104062.0
157,LEDN,VH,109372.0
158,VH,HIL,109372.0
159,HIL,HAD,109372.0
160,HAD,HLM,110572.0
161,HLM,HLMS,159396.0
162,HLMS,HWZB,159396.0
163,HWZB,ASS,159396.0
164,RLB,BRD,135200.0
165,BRD,ZWD,135200.0
166,ZWD,DDR,135200.0
167,DDR,DDZD,79518.0
168,DDZD,ZLW,79518.0
169,ZLW,ZVB,52600.0
170,ZVB,ODB,52600.0
171,ODB,RSD,52600.0
172,RSD,BGN,49700.0
173,BGN,RB,48100.0
174,RB,KBD,48100.0
175,KBD,KRG,48100.0
176,KRG,BZL,48100.0
177,BZL,GS,48100.0
178,GS,ARN,48100.0
179,ARN,MDB,48100.0
180,MDB,VSS,48100.0
181,VSS,VS,48100.0
182,ZD,ZDK,66660.0
183,ZDK,PMW,66660.0
184,PMW,PMR,66660.0
185,PMR,PMO,66660.0
186,PMO,HN,66660.0
187,HN,HNK,63660.0
188,HNK,HKS,42360.0
189,HKS,BKG,42360.0
190,BKG,BKF,42360.0
191,BKF,EKZ,42360.0
192,NM,NML,162857.0
193,NML,EST,161783.0
194,EST,AHZ,167993.0
195,AHZ,AH,167993.0
196,AH,OTB,107612.0
197,OTB,WF,107612.0
198,WF,ED,107612.0
199,ED,KLP,96800.0
200,KLP,MRN,96800.0
201,MRN,DB,125456.0
202,DB,BNK,131956.0
203,BNK,UTVR,131956.0
204,ASB,RAI,92250.0
205,VL,BR,57585.0
206,BR,HRT,44400.0
207,HRT,DN,44400.0
208,DN,HMBH,65706.0
209,HMBH,HM,65865.0
210,HM,HMH,65865.0
211,HMH,HMBV,65865.0
212,HMBV,EHV,65865.0
213,RSD,ETN,40400.0
214,ETN,BD,40400.0
215,TB,HT,66176.0
216,HT,HTO,65865.0
217,HTO,RS,65494.0
218,RS,OW,65494.0
219,OW,O,65494.0
220,O,RVS,64222.0
221,RVS,WC,64222.0
222,WC,NMD,76634.0
223,NMD,NMGO,76634.0
224,NMGO,NM,76634.0
225,AH,AHP,68242.0
226,AHP,AHPR,56632.0
227,AHPR,VP,56632.0
228,VP,RH,56632.0
229,RH,DR,56632.0
230,DR,BMN,56632.0
231,BMN,ZP,56632.0
232,ZP,DV,40000.0
233,DV,OST,40000.0
234,OST,WH,40000.0
235,WH,ZL,40000.0
236,HRL,HB,44920.0
237,HB,NH,44920.0
238,NH,SN,44920.0
239,SN,SBK,44920.0
240,SBK,GLN,44920.0
241,GLN,STD,44920.0
242,WD,BKL,39852.0
243,HN,OBD,31104.0
244,OBD,HWD,31104.0
245,UTG,HK,35908.0
246,HK,BV,35908.0
247,BV,DRH,35908.0
248,DRH,SPTN,35908.0
249,SPTN,SPTZ,35908.0
250,SPTZ,BLL,35908.0
251,BLL,HLM,35908.0
252,UTO,HOR,51582.0
253,HOR,HVSP,51582.0
254,HVSP,HVS,51582.0
255,NDB,AMPO,27626.0
256,ZVT,OVN,34504.0
257,OVN,HLM,34504.0
258,BRN,SD,1100.0
259,SD,ST,1100.0
260,ST,STZ,1100.0
261,STZ,DLD,1100.0
262,ZLW,BDPB,26918.0
263,TL,TPSW,31320.0
264,TPSW,GDM,31320.0
265,RHN,VNDC,28656.0
266,VNDC,VNDW,28656.0
267,VNDW,MRN,28656.0
268,WD,BDG,46764.0
269,BDG,APN,46764.0
270,APN,LDL,47304.0
271,LDL,LEDN,47304.0
272,GD,RTD,300.0
273,ES,ESK,36585.0
274,ESK,HGL,36585.0
275,HGL,BN,36585.0
276,BN,AMRI,36585.0
277,AMRI,AML,36585.0
278,EMN,EMNZ,6930.0
279,EMNZ,NA,6930.0
280,NA,DLN,6930.0
281,DLN,CO,6930.0
282,CO,GBG,8820.0
283,GBG,HDB,8820.0
284,HDB,MRB,12200.0
285,MRB,OMN,8820.0
286,OMN,DL,8820.0
287,DL,ZL,8820.0
288,ZP,VEM,8370.0
289,VEM,KBK,8370.0
290,KBK,APDM,8370.0
291,APDM,APD,8370.0
292,AHBF,AW,9063.0
293,AW,HZ,9063.0
294,HZ,EGHM,9063.0
295,EGHM,LG,9063.0
296,LG,HRL,15903.0
297,HRL,HRLW,15552.0
298,HRLW,VDL,15552.0
299,VDL,KMR,15552.0
300,KMR,SOG,15552.0
301,SOG,VK,15552.0
302,VK,SGL,15552.0
303,SGL,MES,15552.0
304,MES,MTN,15552.0
305,MTN,MT,15552.0
306,MT,MTR,22449.0
307,MTR,EDN,5301.0
308,EDN,FVS,5301.0
309,FVS,BRESSX,5301.0
310,BRESSX,LUIK,5301.0
311,GERP,KW,15120.0
312,KW,MTH,15120.0
313,MTH,HGZ,15120.0
314,HGZ,ZB,15120.0
315,ZB,SDA,9630.0
316,SDA,WS,9630.0
317,WS,NSCH,5355.0
318,WW,WWW,8370.0
319,WWW,LTV,8370.0
320,LTV,RL,8370.0
321,RL,VD,8370.0
322,VD,ZP,8370.0
323,WW,ATN,11610.0
324,ATN,VSV,11610.0
325,VSV,TBG,11610.0
326,TBG,GDR,11610.0
327,GDR,DTC,11610.0
328,DTC,DTCH,11610.0
329,DTCH,WL,11610.0
330,WL,DID,11610.0
331,DID,ZV,11610.0
332,ZV,DVN,11610.0
333,DVN,WTV,11610.0
334,WTV,AHP,11610.0
335,MRB,VHP,3900.0
336,VHP,DA,3900.0
337,DA,VZ,3900.0
338,VZ,AML,3900.0
339,EST,ZA,6210.0
340,ZA,HMN,6210.0
341,HMN,OP,6210.0
342,OP,KTR,6210.0
343,KTR,TL,6210.0
344,ODZ,HGLO,11700.0
345,HGLO,HGL,11700.0
346,HGL,HGLG,11310.0
347,HGLG,DDN,11310.0
348,DDN,GO,11310.0
349,GO,LC,11310.0
350,LC,ZP,11310.0
351,LG,EGH,6840.0
352,EGH,CVM,6840.0
353,CVM,KRD,6840.0
354,RM,SM,12195.0
355,SM,RV,12195.0
356,RV,TG,12195.0
357,TG,VL,12195.0
358,BR,VRY,13320.0
359,VRY,VLB,15255.0
360,VLB,BMR,15255.0
361,BMR,CK,15255.0
362,CK,MMLH,15255.0
363,MMLH,NMH,15255.0
364,NMH,NM,15255.0
365,SK,SKND,12564.0
366,SKND,MG,12564.0
367,MG,LW,12564.0
368,STV,KMW,7272.0
369,KMW,HNP,7272.0
370,HNP,WK,7272.0
371,WK,IJT,7272.0
372,IJT,SK,7272.0
373,HLGH,HLG,10638.0
374,HLG,FN,10638.0
375,FN,DRP,10638.0
376,DRP,DEI,10638.0
377,DEI,LW,10638.0
378,LW,LWC,22590.0
379,LWC,HDG,22590.0
380,HDG,FWD,22590.0
381,FWD,DWE,22590.0
382,DWE,BP,22590.0
383,BP,GK,22590.0
384,GK,ZH,22590.0
385,ZH,GN,23220.0
386,EEM,RD,5040.0
387,RD,UHM,10530.0
388,UHM,UHZ,10530.0
389,UHZ,UST,10530.0
390,UST,WFM,10530.0
391,WFM,BF,10530.0
392,BF,WSM,10530.0
393,WSM,SWD,10530.0
394,SWD,GNN,20160.0
395,GNN,GN,20160.0
396,DZ,DZW,9630.0
397,DZW,APG,9630.0
398,APG,LP,9630.0
399,LP,STM,9630.0
400,STM,BDM,9630.0
401,BDM,SWD,9630.0
402,ZB,VDM,5490.0
403,GR,BHDV,18495.0
404,BHDV,GND,18495.0
405,GND,HBZM,18495.0
406,HBZM,SDT,18495.0
407,SDT,SDTB,18495.0
408,SDTB,DDRS,18495.0
409,DDRS,DDR,18495.0
410,GDM,BSD,9990.0
411,BSD,LDM,9990.0
412,LDM,AKL,9990.0
413,AKL,GR,9990.0
414,NVD,RAT,26049.0
415,RAT,HNO,26049.0
416,HNO,ZL,26049.0
417,KPN,ZLSH,17784.0
418,ZLSH,ZL,17784.0
419,ED,EDC,12996.0
420,EDC,LTN,12996.0
421,LTN,BNZ,12996.0
422,BNZ,BNC,23256.0
423,BNC,BNN,23256.0
424,BNN,HVL,23256.0
