,From,To,Seats
331,Atn,Vsv,
332,Vsv,Tbg,
333,Tbg,Gdr,
334,Gdr,Dtc,
335,Dtc,Dtch,
336,Dtch,Wl,
337,Wl,Did,
338,Did,Zv,
339,Zv,Dvn,
340,Dvn,Wtv,
341,Wtv,Ahp,
342,Mrb,Vhp,0.0
343,Vhp,Da,0.0
344,Da,Vz,0.0
345,Vz,Aml,0.0
346,Est,Za,0.0
347,Za,Hmn,0.0
348,Hmn,Op,0.0
349,Op,Ktr,0.0
350,Ktr,Tl,0.0
351,Odz,Hglo,0.0
352,Hglo,Hgl,0.0
353,Hgl,Hglg,0.0
354,Hglg,Ddn,0.0
355,Ddn,Go,0.0
356,Go,Lc,0.0
357,Lc,Zp,0.0
358,Lg,Egh,0.0
359,Egh,Cvm,0.0
360,Cvm,Krd,0.0
361,Rm,Sm,0.0
362,Sm,Rv,0.0
363,Rv,Tg,0.0
364,Tg,Vl,0.0
365,Br,Vry,0.0
366,Vry,Vlb,0.0
367,Vlb,Bmr,0.0
368,Bmr,Ck,0.0
369,Ck,Mmlh,0.0
370,Mmlh,Nmh,0.0
371,Nmh,Nm,0.0
372,Sk,Sknd,0.0
373,Sknd,Mg,0.0
374,Mg,Lw,0.0
375,Stv,Kmw,0.0
376,Kmw,Hnp,0.0
377,Hnp,Wk,0.0
378,Wk,IJt,0.0
379,IJt,Sk,0.0
380,Hlgh,Hlg,0.0
381,Hlg,Fn,0.0
382,Fn,Drp,0.0
383,Drp,Dei,0.0
384,Dei,Lw,0.0
385,Lw,Lwc,0.0
386,Lwc,Hdg,0.0
387,Hdg,Fwd,0.0
388,Fwd,Dwe,0.0
389,Dwe,Bp,0.0
390,Bp,Gk,0.0
391,Gk,Zh,0.0
392,Zh,Gn,0.0
393,Eem,Rd,0.0
394,Rd,Uhm,0.0
395,Uhm,Uhz,0.0
396,Uhz,Ust,0.0
397,Ust,Wfm,0.0
398,Wfm,Bf,0.0
399,Bf,Wsm,0.0
400,Wsm,Swd,0.0
401,Swd,Gnn,0.0
402,Gnn,Gn,0.0
403,Dz,Dzw,0.0
404,Dzw,Apg,0.0
405,Apg,Lp,0.0
406,Lp,Stm,0.0
407,Stm,Bdm,0.0
408,Bdm,Swd,0.0
409,Zb,Vdm,0.0
410,Gr,Bhdv,
411,Bhdv,Gnd,
412,Gnd,Hbzm,
413,Hbzm,Sdt,
414,Sdt,Sdtb,
415,Sdtb,Ddrs,
416,Ddrs,Ddr,
417,Gdm,Bsd,
418,Bsd,Ldm,
419,Ldm,Akl,
420,Akl,Gr,
421,Wdn,Nvd,
422,Nvd,Rat,
423,Rat,Hno,
424,Hno,Zl,
425,Kpn,Zlsh,0.0
426,Zlsh,Zl,0.0
427,Ed,Edc,0.0
428,Edc,Ltn,0.0
429,Ltn,Bnz,0.0
430,Bnz,Bnc,0.0
431,Bnc,Bnn,0.0
432,Bnn,Hvl,0.0
