,Station,Code,Lat-coord,Lng-coord,Randstad,Type,uic
173,Dülmen,EDULH,51.827927,7.295756,0.0,stoptreinstation,8021005
174,Düsseldorf Flughafen,KDFFH,51.292009,6.786836,0.0,knooppuntIntercitystation,8039904
175,Düsseldorf Hbf,DUSSEL,51.220146,6.793137,0.0,megastation,8008094
176,Echt,EC,51.100555419922,5.8788890838623,0.0,stoptreinstation,8400195
177,Ede Centrum,EDC,52.043609619141,5.668333530426,0.0,stoptreinstation,8400201
178,Ede-Wageningen,ED,52.027778625488,5.6730556488037,0.0,knooppuntIntercitystation,8400200
179,Eemshaven,EEM,53.458419,6.832,0.0,stoptreinstation,8400202
180,Eijsden,EDN,50.771945953369,5.710000038147,0.0,stoptreinstation,8400219
181,Eindhoven Centraal,EHV,51.443332672119,5.4813890457153,0.0,megastation,8400206
182,Eindhoven Strijp-S,EHS,51.451110839844,5.4558334350586,0.0,stoptreinstation,8400196
183,Ekeren,LKR,51.2816099,4.4341227,0.0,stoptreinstation,8821071
184,Elst,EST,51.916942596435,5.8550000190735,0.0,knooppuntStoptreinstation,8400207
185,Emmen,EMN,52.790000915527,6.8994445800781,0.0,sneltreinstation,8400208
186,Emmen Zuid,EMNZ,52.748866374691,6.8747806549072,0.0,sneltreinstation,8400407
187,Emmerich,EM,51.834283,6.255718,0.0,knooppuntStoptreinstation,8010288
188,Emmerich-Elten,EL,51.8743,6.15417,0.0,stoptreinstation,8033415
189,Enkhuizen,EKZ,52.699165344238,5.286388874054,0.0,stoptreinstation,8400210
190,Ennepetal,EENP,51.304892,7.343285,0.0,stoptreinstation,8008134
191,Enschede,ES,52.222499847412,6.8899998664856,0.0,knooppuntIntercitystation,8400212
192,Enschede De Eschmarke,ESE,52.221389770508,6.9511113166809,0.0,stoptreinstation,8400217
193,Enschede Kennispark,ESK,52.23749923706,6.8388891220093,0.0,stoptreinstation,8400221
194,Epe (Westf),EEPE,52.18346,7.03009,0.0,stoptreinstation,8021126
195,Ermelo,EML,52.301666259766,5.6147222518921,0.0,stoptreinstation,8400216
196,Essen,ESN,51.46261,4.45129,0.0,stoptreinstation,8821402
197,Etten-Leur,ETN,51.57500076294,4.6358332633972,0.0,intercitystation,8400218
198,Eygelshoven,EGH,50.890556335449,6.0450000762939,0.0,stoptreinstation,8400338
199,Eygelshoven Markt,EGHM,50.896049819644,6.0602474212646,0.0,stoptreinstation,8400234
200,Feanwâlden,FWD,53.2351834,5.9886615,0.0,stoptreinstation,8400638
201,Firenze Campo di Marte,LIVOR,43.776667,11.276667,0.0,intercitystation,8306900
202,Franeker,FN,53.1824488,5.5483094,0.0,stoptreinstation,8400232
203,Frankfurt (M) Hbf,FFFM,50.1071222,8.6638338,0.0,knooppuntIntercitystation,8011068
204,Frankfurt (Main) Süd,FFS,50.099444,8.686389,0.0,intercitystation,8011065
