,index,From,To,Seats,geometry,color
21,29,MTR,EDN,39330.0,"LINESTRING (5.71721 50.83861, 5.71749 50.83798, 5.71765 50.83751, 5.71776 50.83708, 5.71788 50.83618, 5.71787 50.83485, 5.71702 50.80969, 5.71637 50.78901, 5.7163 50.78722, 5.71623 50.78633, 5.7161 50.78543, 5.71592 50.78453, 5.7157 50.78365, 5.71542 50.78277, 5.71511 50.78188, 5.71457 50.7806, 5.71209 50.77589, 5.71072 50.77334, 5.71 50.77194)","[1.0, 0.8823529411764706, 0.0]"
22,31,FVS,BRESSX,39330.0,"LINESTRING (5.69244 50.73781, 5.6934 50.73427, 5.69378 50.73336, 5.69408 50.73247, 5.69423 50.73149, 5.69428 50.73072, 5.69402 50.72961, 5.6934 50.72751, 5.69311 50.72603, 5.69291 50.72453, 5.69217 50.7201, 5.69195 50.71914, 5.69169 50.71875, 5.69148 50.71841, 5.69074 50.7176, 5.6892 50.7162, 5.68804 50.71517, 5.68692 50.71411, 5.68636 50.71344, 5.68589 50.71253, 5.68545 50.71136, 5.68512 50.71055, 5.68482 50.70949, 5.68451 50.70819, 5.68438 50.70726, 5.68409 50.70637, 5.68368 50.70552, 5.68318 50.70475, 5.6824 50.70382, 5.68181 50.70323, 5.68116 50.70238, 5.67994 50.70071, 5.67731 50.69706, 5.67687 50.69625, 5.6765 50.69531, 5.67587 50.69263, 5.67537 50.6914, 5.67472 50.69037, 5.67408 50.68945, 5.67336 50.68813, 5.67281 50.68735, 5.66994 50.68469, 5.66802 50.68234, 5.65942 50.67133, 5.65832 50.6698, 5.65717 50.66805, 5.65657 50.66704, 5.65601 50.66598, 5.65553 50.66518, 5.65369 50.66184, 5.6531 50.66104, 5.65109 50.6585, 5.64903 50.6566, 5.6471 50.65524, 5.64602 50.65453, 5.64319 50.65272, 5.64042 50.65129, 5.63909 50.65067, 5.63686 50.64985, 5.63321 50.64883, 5.62405 50.6469, 5.61757 50.64536, 5.61304 50.64443, 5.61113 50.6441)","[1.0, 0.8823529411764706, 0.0]"
23,30,EDN,FVS,39330.0,"LINESTRING (5.71 50.77194, 5.7094 50.77077, 5.709 50.76991, 5.70854 50.76905, 5.70758 50.76735, 5.70713 50.7665, 5.70306 50.75879, 5.70042 50.75385, 5.69974 50.753, 5.6984 50.75184, 5.69726 50.75091, 5.69635 50.75003, 5.69577 50.74921, 5.69417 50.74642, 5.69333 50.74405, 5.69309 50.74317, 5.69244 50.7405, 5.69236 50.73961, 5.69244 50.73781)","[1.0, 0.8823529411764706, 0.0]"
24,32,BRESSX,LUIK,39330.0,"LINESTRING (5.61113 50.6441, 5.60864 50.64366, 5.60379 50.64261, 5.60139 50.64175, 5.59781 50.64019, 5.59457 50.63823, 5.59253 50.63675, 5.59167 50.63586, 5.59096 50.6347, 5.59008 50.63236, 5.5894 50.63106, 5.58817 50.63009, 5.58678 50.62912, 5.58631 50.62862, 5.58603 50.62794, 5.58594 50.62741, 5.58648 50.62431, 5.58665 50.62299, 5.58678 50.6216, 5.58659 50.62055, 5.58621 50.61967, 5.58602 50.61912, 5.58576 50.61855, 5.58559 50.61828, 5.58514 50.61779, 5.58463 50.61743, 5.58401 50.61711, 5.58331 50.61689, 5.58234 50.61677, 5.58138 50.61686, 5.57999 50.61712, 5.57771 50.61761, 5.57629 50.61796, 5.57503 50.61847, 5.57338 50.61947, 5.5675 50.62376, 5.56664 50.62444)","[1.0, 0.8823529411764706, 0.0]"
25,2,NA,DLN,43020.0,"LINESTRING (6.84875 52.71858, 6.84831 52.71771, 6.84816 52.71722, 6.84745 52.71584, 6.84691 52.71504, 6.84649 52.71459, 6.84609 52.71421, 6.84564 52.71386, 6.84508 52.71348, 6.8446 52.7132, 6.84414 52.71296, 6.84342 52.71264, 6.84276 52.7124, 6.84213 52.7122, 6.84132 52.71198, 6.84074 52.71187, 6.83643 52.71119, 6.82224 52.70904, 6.77608 52.70198, 6.77466 52.70172, 6.77328 52.70143, 6.77189 52.70108, 6.77055 52.70069, 6.76399 52.69861, 6.76343 52.69842, 6.76272 52.69814, 6.7622 52.69791, 6.76157 52.69758, 6.7611 52.69731, 6.76054 52.69694, 6.76011 52.69663, 6.75965 52.69623, 6.75929 52.69586, 6.75896 52.69543, 6.75842 52.6946, 6.75816 52.69414)","[1.0, 0.8509803921568627, 0.0]"
26,3,DLN,CO,43020.0,"LINESTRING (6.75816 52.69414, 6.75747 52.69289, 6.75657 52.69118, 6.75252 52.68334, 6.75203 52.6825, 6.75148 52.68167, 6.7492 52.67835, 6.74858 52.67754, 6.74791 52.67674, 6.74716 52.67596, 6.74635 52.67521, 6.7446 52.67377, 6.73739 52.66807, 6.73702 52.66773, 6.73665 52.66732, 6.73601 52.66648, 6.7358 52.66611, 6.7354 52.66514, 6.73527 52.66472, 6.73525 52.6643, 6.73529 52.66384, 6.73535 52.66359)","[1.0, 0.8509803921568627, 0.0]"
27,1,EMNZ,NA,43020.0,"LINESTRING (6.87472 52.7489, 6.86563 52.74351, 6.86511 52.74317, 6.86406 52.74246, 6.86272 52.74147, 6.86185 52.74074, 6.86103 52.74, 6.85985 52.73881, 6.85886 52.73765, 6.85824 52.73683, 6.85745 52.73564, 6.85671 52.73429, 6.85152 52.72393, 6.85122 52.72348, 6.84875 52.71858)","[1.0, 0.8509803921568627, 0.0]"
28,0,EMN,EMNZ,43020.0,"LINESTRING (6.89968 52.78999, 6.89965 52.78951, 6.89966 52.7893, 6.89977 52.78862, 6.8999 52.78807, 6.90097 52.78463, 6.90108 52.78421, 6.90126 52.78333, 6.90137 52.78243, 6.90139 52.78152, 6.90134 52.7806, 6.90122 52.7797, 6.90102 52.77881, 6.89697 52.76469, 6.89681 52.76424, 6.89663 52.76382, 6.89644 52.76343, 6.89615 52.76294, 6.89585 52.76252, 6.89556 52.76213, 6.89518 52.76171, 6.89483 52.76134, 6.894 52.76061, 6.89345 52.76019, 6.89306 52.75992, 6.89104 52.75861, 6.88999 52.75797, 6.88367 52.75418, 6.87472 52.7489)","[1.0, 0.8509803921568627, 0.0]"
29,78,EGH,CVM,43074.0,"LINESTRING (6.04484 50.89042, 6.05258 50.88682, 6.05374 50.88621, 6.05425 50.88586, 6.0546 50.8856, 6.05495 50.88532, 6.0555 50.8848, 6.05593 50.88428, 6.05613 50.88402, 6.05642 50.88355, 6.05663 50.88314, 6.05923 50.87708, 6.05941 50.87661, 6.05954 50.8761)","[1.0, 0.8509803921568627, 0.0]"
30,77,LG,EGH,43074.0,"LINESTRING (6.01915 50.89645, 6.02013 50.89654, 6.02155 50.89655, 6.02298 50.89652, 6.02438 50.89644, 6.02579 50.89633, 6.02719 50.89624, 6.02817 50.89621, 6.02901 50.89616, 6.03055 50.89594, 6.03257 50.8955, 6.03393 50.89514, 6.03524 50.89472, 6.03605 50.89443, 6.03673 50.89416, 6.03835 50.89343, 6.04484 50.89042)","[1.0, 0.8509803921568627, 0.0]"
