From,To,Difference,Maximum seats,Minimum seats
HKS,BKG,13840.0,54000.0,40160.0
RM,WT,13000.0,70200.0,57200.0
GNN,GN,12960.0,20160.0,7200.0
SWD,GNN,12960.0,20160.0,7200.0
WDN,RSN,12875.0,39800.0,26925.0
HFD,RTD,12636.0,52756.0,40120.0
ZH,GN,12258.0,23220.0,10962.0
DWE,BP,11628.0,22590.0,10962.0
LWC,HDG,11628.0,22590.0,10962.0
LW,LWC,11628.0,22590.0,10962.0
GK,ZH,11628.0,22590.0,10962.0
BP,GK,11628.0,22590.0,10962.0
HDG,FWD,11628.0,22590.0,10962.0
FWD,DWE,11628.0,22590.0,10962.0
OVN,HLM,11448.0,37800.0,26352.0
ZVT,OVN,11448.0,37800.0,26352.0
HK,BV,11232.0,38448.0,27216.0
SPTZ,BLL,11232.0,38448.0,27216.0
UTG,HK,11232.0,38448.0,27216.0
SPTN,SPTZ,11232.0,38448.0,27216.0
DRH,SPTN,11232.0,38448.0,27216.0
BV,DRH,11232.0,38448.0,27216.0
BLL,HLM,11232.0,38448.0,27216.0
NDB,AMPO,10994.0,27626.0,16632.0
OST,WH,10800.0,42400.0,31600.0
DV,OST,10800.0,42400.0,31600.0
ZP,DV,10800.0,42400.0,31600.0
WH,ZL,10800.0,42400.0,31600.0
OBD,HWD,10476.0,33372.0,22896.0
HN,OBD,10476.0,33372.0,22896.0
DDRS,DDR,10260.0,18495.0,8235.0
HBZM,SDT,10260.0,18495.0,8235.0
GR,BHDV,10260.0,18495.0,8235.0
BHDV,GND,10260.0,18495.0,8235.0
SDTB,DDRS,10260.0,18495.0,8235.0
GND,HBZM,10260.0,18495.0,8235.0
SDT,SDTB,10260.0,18495.0,8235.0
DRON,LLS,9808.0,59958.0,50150.0
ZL,KPNZ,9808.0,59958.0,50150.0
KPNZ,DRON,9808.0,59958.0,50150.0
BR,HRT,9000.0,44600.0,35600.0
HRT,DN,9000.0,44600.0,35600.0
DTCP,SDM,7524.0,38124.0,30600.0
DT,DTCP,7524.0,38124.0,30600.0
SDM,RTD,7524.0,38124.0,30600.0
UTZL,MAS,7434.0,253897.0,246463.0
UT,UTZL,7434.0,254221.0,246787.0
MT,BDE,7422.0,52488.0,45066.0
LUT,STD,7422.0,52488.0,45066.0
BK,LUT,7422.0,52488.0,45066.0
BDE,BK,7422.0,52488.0,45066.0
HDRZ,HDR,7400.0,45200.0,37800.0
SGN,ANA,7400.0,45200.0,37800.0
HWD,SGN,7400.0,45200.0,37800.0
ANA,HDRZ,7400.0,45200.0,37800.0
ASHD,ASB,7395.0,265667.0,258272.0
BKL,AC,7395.0,265667.0,258272.0
AC,ASHD,7395.0,265667.0,258272.0
MAS,BKL,7084.0,253897.0,246813.0
BMR,CK,7020.0,15255.0,8235.0
NMH,NM,7020.0,15255.0,8235.0
CK,MMLH,7020.0,15255.0,8235.0
VRY,VLB,7020.0,15255.0,8235.0
VLB,BMR,7020.0,15255.0,8235.0
MMLH,NMH,7020.0,15255.0,8235.0
BF,WSM,6840.0,10530.0,3690.0
UHZ,UST,6840.0,10530.0,3690.0
UHM,UHZ,6840.0,10530.0,3690.0
WFM,BF,6840.0,10530.0,3690.0
UST,WFM,6840.0,10530.0,3690.0
RD,UHM,6840.0,10530.0,3690.0
WSM,SWD,6840.0,10530.0,3690.0
WD,BKL,6696.0,39852.0,33156.0
DVD,ASA,6575.0,174767.0,168192.0
ASA,ASDM,6575.0,174767.0,168192.0
ASB,DVD,6575.0,174767.0,168192.0
HDB,MRB,6560.0,12200.0,5640.0
DZW,APG,6120.0,9630.0,3510.0
DZ,DZW,6120.0,9630.0,3510.0
APG,LP,6120.0,9630.0,3510.0
LP,STM,6120.0,9630.0,3510.0
BDM,SWD,6120.0,9630.0,3510.0
STM,BDM,6120.0,9630.0,3510.0
KBK,APDM,5445.0,10305.0,4860.0
ZP,VEM,5445.0,10305.0,4860.0
APDM,APD,5445.0,10305.0,4860.0
VEM,KBK,5445.0,10305.0,4860.0
MT,MTR,5412.0,23262.0,17850.0
ODZ,HGLO,5330.0,11700.0,6370.0
HGLO,HGL,5330.0,11700.0,6370.0
VSV,TBG,5265.0,12330.0,7065.0
BSD,LDM,5265.0,10125.0,4860.0
LDM,AKL,5265.0,10125.0,4860.0
GDM,BSD,5265.0,10125.0,4860.0
ATN,VSV,5265.0,12330.0,7065.0
AKL,GR,5265.0,10125.0,4860.0
WW,ATN,5265.0,12330.0,7065.0
BR,VRY,5085.0,13320.0,8235.0
GO,LC,5070.0,11310.0,6240.0
LC,ZP,5070.0,11310.0,6240.0
DDN,GO,4940.0,11310.0,6370.0
HGL,HGLG,4940.0,11310.0,6370.0
HGLG,DDN,4940.0,11310.0,6370.0
GDR,DTC,4590.0,12330.0,7740.0
TBG,GDR,4590.0,12330.0,7740.0
SGL,MES,4500.0,16878.0,12378.0
VDL,KMR,4500.0,16878.0,12378.0
HRLW,VDL,4500.0,16878.0,12378.0
VK,SGL,4500.0,16878.0,12378.0
MES,MTN,4500.0,16878.0,12378.0
HRL,HRLW,4500.0,16878.0,12378.0
KMR,SOG,4500.0,16878.0,12378.0
MTN,MT,4500.0,16878.0,12378.0
SOG,VK,4500.0,16878.0,12378.0
LG,HRL,4464.0,17229.0,12765.0
TG,VL,4140.0,12195.0,8055.0
RM,SM,4140.0,12195.0,8055.0
RV,TG,4140.0,12195.0,8055.0
SM,RV,4140.0,12195.0,8055.0
EEM,RD,3960.0,5040.0,1080.0
DID,ZV,3645.0,12330.0,8685.0
WTV,AHP,3645.0,12330.0,8685.0
ZV,DVN,3645.0,12330.0,8685.0
DTC,DTCH,3645.0,12330.0,8685.0
DVN,WTV,3645.0,12330.0,8685.0
WL,DID,3645.0,12330.0,8685.0
DTCH,WL,3645.0,12330.0,8685.0
KTR,TL,3510.0,6210.0,2700.0
EST,ZA,3510.0,6210.0,2700.0
ZA,HMN,3510.0,6210.0,2700.0
HMN,OP,3510.0,6210.0,2700.0
OP,KTR,3510.0,6210.0,2700.0
ETN,BD,3200.0,42600.0,39400.0
RSD,ETN,3200.0,42600.0,39400.0
LTN,BNZ,3078.0,14706.0,11628.0
EDC,LTN,3078.0,14706.0,11628.0
ED,EDC,3078.0,14706.0,11628.0
LG,EGH,2625.0,6840.0,4215.0
EGH,CVM,2625.0,6840.0,4215.0
CVM,KRD,2625.0,6840.0,4215.0
EGHM,LG,2052.0,10602.0,8550.0
AW,HZ,2052.0,10602.0,8550.0
HZ,EGHM,2052.0,10602.0,8550.0
AHBF,AW,2052.0,10602.0,8550.0
MRB,VHP,1560.0,3900.0,2340.0
DA,VZ,1560.0,3900.0,2340.0
VHP,DA,1560.0,3900.0,2340.0
VZ,AML,1560.0,3900.0,2340.0
RL,VD,1350.0,8370.0,7020.0
VD,ZP,1350.0,8370.0,7020.0
WWW,LTV,1350.0,8370.0,7020.0
WW,WWW,1350.0,8370.0,7020.0
LTV,RL,1350.0,8370.0,7020.0
ZL,DL,1035.0,4725.0,3690.0
CO,DLN,1035.0,4725.0,3690.0
HDB,GBG,1035.0,4725.0,3690.0
OMN,MRB,1035.0,4725.0,3690.0
GBG,CO,1035.0,4725.0,3690.0
DL,OMN,1035.0,4725.0,3690.0
EMNZ,EMN,1035.0,4725.0,3690.0
BRESSX,LUIK,855.0,6156.0,5301.0
FVS,BRESSX,855.0,6156.0,5301.0
EDN,FVS,855.0,6156.0,5301.0
MTR,EDN,855.0,6156.0,5301.0
GERP,KW,405.0,15120.0,14715.0
MTH,HGZ,405.0,15120.0,14715.0
KW,MTH,405.0,15120.0,14715.0
HGZ,ZB,405.0,15120.0,14715.0
IJT,SK,306.0,7578.0,7272.0
WK,IJT,306.0,7578.0,7272.0
