,DataOwnerCode,OperatingDay,LinePlanningNumber,JourneyNumber,ReinforcementNumber,TimingLinkOrder,UserStopCodeBegin,UserStopCodeEnd,Occupancy,VehicleType,TotalNumberOfCoaches,Seats,Occupied Seats
47208,NS,2024-09-24,,927,0,2,RTD,SHL,2,ICNG25,10,520,0
136379,NS,2024-09-24,,927,0,3,SHL,ASD,2,ICNG25,10,520,0
156079,NS,2024-09-24,,928,0,1,ASD,SHL,2,ICNG25,10,520,0
189409,NS,2024-09-24,,928,0,2,SHL,RTD,2,ICNG25,10,520,0
178966,NS,2024-09-24,,928,0,3,RTD,BD,2,ICNG25,10,520,0
129855,NS,2024-09-24,,931,0,1,BD,RTD,2,SW9-25KV,11,528,0
25355,NS,2024-09-24,,931,0,2,RTD,SHL,2,SW9-25KV,11,528,0
73068,NS,2024-09-24,,931,0,3,SHL,ASD,2,SW9-25KV,11,528,0
90744,NS,2024-09-24,,932,0,1,ASD,SHL,2,SW9-25KV,11,528,0
55763,NS,2024-09-24,,932,0,2,SHL,RTD,2,SW9-25KV,11,528,0
47784,NS,2024-09-24,,932,0,3,RTD,BD,2,SW9-25KV,11,528,0
181014,NS,2024-09-24,,935,0,1,BD,RTD,2,SW9-25KV,11,528,0
204813,NS,2024-09-24,,935,0,2,RTD,SHL,2,SW9-25KV,11,528,0
162572,NS,2024-09-24,,935,0,3,SHL,ASD,2,SW9-25KV,11,528,0
19724,NS,2024-09-24,,936,0,1,ASD,SHL,2,SW9-25KV,11,528,0
194659,NS,2024-09-24,,936,0,2,SHL,RTD,2,SW9-25KV,11,528,0
107020,NS,2024-09-24,,936,0,3,RTD,BD,2,SW9-25KV,11,528,0
128035,NS,2024-09-24,,939,0,1,BD,RTD,2,ICNG25,10,520,0
34930,NS,2024-09-24,,939,0,2,RTD,SHL,2,ICNG25,10,520,0
200691,NS,2024-09-24,,939,0,3,SHL,ASD,2,ICNG25,10,520,0
67433,NS,2024-09-24,,940,0,1,ASD,SHL,2,ICNG25,10,520,0
8036,NS,2024-09-24,,940,0,2,SHL,RTD,2,ICNG25,10,520,0
37519,NS,2024-09-24,,940,0,3,RTD,BD,2,ICNG25,10,520,0
102838,NS,2024-09-24,,943,0,1,BD,RTD,2,SW9-25KV,11,528,0
152799,NS,2024-09-24,,943,0,2,RTD,SHL,2,SW9-25KV,11,528,0
73775,NS,2024-09-24,,943,0,3,SHL,ASD,2,SW9-25KV,11,528,0
187146,NS,2024-09-24,,944,0,1,ASD,SHL,2,SW9-25KV,11,528,0
76345,NS,2024-09-24,,944,0,2,SHL,RTD,2,SW9-25KV,11,528,0
66039,NS,2024-09-24,,944,0,3,RTD,BD,2,SW9-25KV,11,528,0
21744,NS,2024-09-24,,947,0,1,BD,RTD,2,SW9-25KV,11,528,0
16906,NS,2024-09-24,,947,0,2,RTD,SHL,2,SW9-25KV,11,528,0
64233,NS,2024-09-24,,947,0,3,SHL,ASD,2,SW9-25KV,11,528,0
207661,NS,2024-09-24,,948,0,1,ASD,SHL,2,SW9-25KV,11,528,0
20514,NS,2024-09-24,,948,0,2,SHL,RTD,2,SW9-25KV,11,528,0
68183,NS,2024-09-24,,948,0,3,RTD,BD,2,SW9-25KV,11,528,0
68511,NS,2024-09-24,,950,0,1,RTD,BD,2,ICNG25,10,520,0
139863,NS,2024-09-24,,951,0,1,BD,RTD,2,ICNG25,10,520,0
92202,NS,2024-09-24,,951,0,2,RTD,SHL,2,ICNG25,10,520,0
126736,NS,2024-09-24,,951,0,3,SHL,ASD,2,ICNG25,10,520,0
197022,NS,2024-09-24,,952,0,1,ASD,SHL,2,ICNG25,10,520,0
195192,NS,2024-09-24,,952,0,2,SHL,RTD,3,ICNG25,10,520,0
132641,NS,2024-09-24,,952,0,3,RTD,BD,3,ICNG25,10,520,0
98413,NS,2024-09-24,,954,0,1,RTD,BD,2,ICNG25,13,676,0
105590,NS,2024-09-24,,955,0,1,BD,RTD,2,ICNG25,10,520,0
186328,NS,2024-09-24,,955,0,2,RTD,SHL,2,ICNG25,10,520,0
45991,NS,2024-09-24,,955,0,3,SHL,ASD,2,ICNG25,10,520,0
136831,NS,2024-09-24,,956,0,1,ASD,SHL,3,ICNG25,10,520,0
63689,NS,2024-09-24,,956,0,2,SHL,RTD,3,ICNG25,10,520,0
202283,NS,2024-09-24,,956,0,3,RTD,BD,2,ICNG25,10,520,0
189818,NS,2024-09-24,,959,0,1,BD,RTD,2,SW9-25KV,11,528,0
86047,NS,2024-09-24,,959,0,2,RTD,SHL,2,SW9-25KV,11,528,0
13315,NS,2024-09-24,,959,0,3,SHL,ASD,2,SW9-25KV,11,528,0
131774,NS,2024-09-24,,960,0,1,ASD,SHL,2,SW9-25KV,11,528,0
199440,NS,2024-09-24,,960,0,2,SHL,RTD,2,SW9-25KV,11,528,0
68762,NS,2024-09-24,,960,0,3,RTD,BD,2,SW9-25KV,11,528,0
28889,NS,2024-09-24,,963,0,1,BD,RTD,2,ICNG25,10,520,0
184818,NS,2024-09-24,,963,0,2,RTD,SHL,2,ICNG25,10,520,0
79818,NS,2024-09-24,,963,0,3,SHL,ASD,2,ICNG25,10,520,0
142317,NS,2024-09-24,,964,0,1,ASD,SHL,2,ICNG25,10,520,0
198661,NS,2024-09-24,,964,0,2,SHL,RTD,2,ICNG25,10,520,0
166770,NS,2024-09-24,,964,0,3,RTD,BD,2,ICNG25,10,520,0
201198,NS,2024-09-24,,967,0,1,BD,RTD,2,SW9-25KV,11,528,0
87587,NS,2024-09-24,,967,0,2,RTD,SHL,2,SW9-25KV,11,528,0
7174,NS,2024-09-24,,967,0,3,SHL,ASD,2,SW9-25KV,11,528,0
148987,NS,2024-09-24,,968,0,1,ASD,SHL,2,ICNG25,10,520,0
56779,NS,2024-09-24,,968,0,2,SHL,RTD,2,ICNG25,10,520,0
24897,NS,2024-09-24,,968,0,3,RTD,BD,2,ICNG25,10,520,0
111947,NS,2024-09-24,,971,0,1,BD,RTD,2,SW9-25KV,11,528,0
42739,NS,2024-09-24,,971,0,2,RTD,SHL,2,SW9-25KV,11,528,0
74140,NS,2024-09-24,,971,0,3,SHL,ASD,2,SW9-25KV,11,528,0
193534,NS,2024-09-24,,972,0,1,ASD,SHL,2,SW9-25KV,11,528,0
90717,NS,2024-09-24,,972,0,2,SHL,RTD,2,SW9-25KV,11,528,0
93602,NS,2024-09-24,,972,0,3,RTD,BD,2,SW9-25KV,11,528,0
65426,NS,2024-09-24,,976,0,1,ASD,SHL,2,ICNG25,10,520,0
35563,NS,2024-09-24,,976,0,2,SHL,RTD,3,ICNG25,10,520,0
184331,NS,2024-09-24,,978,0,1,RTD,BD,2,SW9-25KV,11,528,0
192921,NS,2024-09-25,,907,0,1,BD,RTD,2,ICNG25,10,520,0
32922,NS,2024-09-25,,907,0,2,RTD,SHL,4,ICNG25,10,520,0
56003,NS,2024-09-25,,907,0,3,SHL,ASD,3,ICNG25,10,520,0
48522,NS,2024-09-25,,908,0,1,RTD,BD,2,ICNG25,10,520,0
156050,NS,2024-09-25,,909,0,1,BD,RTD,2,ICNG25,10,520,0
67624,NS,2024-09-25,,911,0,1,BD,RTD,2,ICNG25,13,676,0
115571,NS,2024-09-25,,911,0,2,RTD,SHL,3,ICNG25,13,676,0
161289,NS,2024-09-25,,911,0,3,SHL,ASD,2,ICNG25,13,676,0
185155,NS,2024-09-25,,912,0,1,ASD,SHL,2,ICNG25,13,676,0
43974,NS,2024-09-25,,912,0,2,SHL,RTD,2,ICNG25,13,676,0
4816,NS,2024-09-25,,912,0,3,RTD,BD,2,ICNG25,13,676,0
140095,NS,2024-09-25,,913,0,1,BD,RTD,2,ICNG25,10,520,0
199064,NS,2024-09-25,,915,0,1,BD,RTD,2,SW9-25KV,11,528,0
181081,NS,2024-09-25,,915,0,2,RTD,SHL,2,SW9-25KV,11,528,0
173445,NS,2024-09-25,,915,0,3,SHL,ASD,2,SW9-25KV,11,528,0
145017,NS,2024-09-25,,916,0,1,ASD,SHL,2,SW9-25KV,11,528,0
113005,NS,2024-09-25,,916,0,2,SHL,RTD,2,SW9-25KV,11,528,0
132196,NS,2024-09-25,,916,0,3,RTD,BD,2,SW9-25KV,11,528,0
126616,NS,2024-09-25,,919,0,1,BD,RTD,2,ICNG25,10,520,0
7660,NS,2024-09-25,,919,0,2,RTD,SHL,2,ICNG25,10,520,0
60661,NS,2024-09-25,,919,0,3,SHL,ASD,2,ICNG25,10,520,0
156388,NS,2024-09-25,,920,0,1,ASD,SHL,2,ICNG25,10,520,0
19366,NS,2024-09-25,,920,0,2,SHL,RTD,2,ICNG25,10,520,0
50036,NS,2024-09-25,,920,0,3,RTD,BD,2,ICNG25,10,520,0
91683,NS,2024-09-25,,923,0,1,BD,RTD,2,ICNG25,13,676,0
29602,NS,2024-09-25,,923,0,2,RTD,SHL,2,ICNG25,13,676,0
99942,NS,2024-09-25,,923,0,3,SHL,ASD,2,ICNG25,13,676,0
91265,NS,2024-09-25,,924,0,1,ASD,SHL,2,ICNG25,13,676,0
31890,NS,2024-09-25,,924,0,2,SHL,RTD,2,ICNG25,13,676,0
16477,NS,2024-09-25,,924,0,3,RTD,BD,2,ICNG25,13,676,0
177067,NS,2024-09-25,,927,0,1,BD,RTD,2,SW9-25KV,11,528,0
61085,NS,2024-09-25,,927,0,2,RTD,SHL,2,SW9-25KV,11,528,0
44941,NS,2024-09-25,,927,0,3,SHL,ASD,2,SW9-25KV,11,528,0
172356,NS,2024-09-25,,928,0,1,ASD,SHL,2,SW9-25KV,11,528,0
184622,NS,2024-09-25,,928,0,2,SHL,RTD,2,SW9-25KV,11,528,0
181041,NS,2024-09-25,,928,0,3,RTD,BD,2,SW9-25KV,11,528,0
102065,NS,2024-09-25,,931,0,1,BD,RTD,2,ICNG25,10,520,0
93236,NS,2024-09-25,,931,0,2,RTD,SHL,2,ICNG25,10,520,0
88354,NS,2024-09-25,,931,0,3,SHL,ASD,2,ICNG25,10,520,0
19244,NS,2024-09-25,,932,0,1,ASD,SHL,2,ICNG25,10,520,0
125454,NS,2024-09-25,,932,0,2,SHL,RTD,2,ICNG25,10,520,0
206097,NS,2024-09-25,,932,0,3,RTD,BD,2,ICNG25,10,520,0
31065,NS,2024-09-25,,935,0,1,BD,RTD,2,ICNG25,13,676,0
51517,NS,2024-09-25,,935,0,2,RTD,SHL,2,ICNG25,13,676,0
187277,NS,2024-09-25,,935,0,3,SHL,ASD,2,ICNG25,13,676,0
23758,NS,2024-09-25,,936,0,1,ASD,SHL,2,ICNG25,13,676,0
181064,NS,2024-09-25,,936,0,2,SHL,RTD,2,ICNG25,13,676,0
143755,NS,2024-09-25,,936,0,3,RTD,BD,2,ICNG25,13,676,0
190479,NS,2024-09-25,,939,0,1,BD,RTD,2,SW9-25KV,11,528,0
173139,NS,2024-09-25,,939,0,2,RTD,SHL,2,SW9-25KV,11,528,0
152671,NS,2024-09-25,,939,0,3,SHL,ASD,2,SW9-25KV,11,528,0
202609,NS,2024-09-25,,940,0,1,ASD,SHL,2,SW9-25KV,11,528,0
196992,NS,2024-09-25,,940,0,2,SHL,RTD,2,SW9-25KV,11,528,0
99061,NS,2024-09-25,,940,0,3,RTD,BD,2,SW9-25KV,11,528,0
162566,NS,2024-09-25,,943,0,1,BD,RTD,2,ICNG25,10,520,0
63908,NS,2024-09-25,,943,0,2,RTD,SHL,2,ICNG25,10,520,0
138402,NS,2024-09-25,,943,0,3,SHL,ASD,2,ICNG25,10,520,0
111913,NS,2024-09-25,,944,0,1,ASD,SHL,2,ICNG25,10,520,0
166619,NS,2024-09-25,,944,0,2,SHL,RTD,2,ICNG25,10,520,0
145729,NS,2024-09-25,,944,0,3,RTD,BD,2,ICNG25,10,520,0
132419,NS,2024-09-25,,947,0,1,BD,RTD,2,ICNG25,13,676,0
62342,NS,2024-09-25,,947,0,2,RTD,SHL,2,ICNG25,13,676,0
8216,NS,2024-09-25,,947,0,3,SHL,ASD,2,ICNG25,13,676,0
179785,NS,2024-09-25,,948,0,1,ASD,SHL,2,ICNG25,13,676,0
178692,NS,2024-09-25,,948,0,2,SHL,RTD,2,ICNG25,13,676,0
114411,NS,2024-09-25,,948,0,3,RTD,BD,2,ICNG25,13,676,0
76617,NS,2024-09-25,,950,0,1,RTD,BD,2,ICNG25,10,520,0
161476,NS,2024-09-25,,951,0,1,BD,RTD,2,SW9-25KV,11,528,0
102093,NS,2024-09-25,,951,0,2,RTD,SHL,2,SW9-25KV,11,528,0
64036,NS,2024-09-25,,951,0,3,SHL,ASD,2,SW9-25KV,11,528,0
133086,NS,2024-09-25,,952,0,1,ASD,SHL,2,SW9-25KV,11,528,0
194271,NS,2024-09-25,,952,0,2,SHL,RTD,2,SW9-25KV,11,528,0
187469,NS,2024-09-25,,952,0,3,RTD,BD,2,SW9-25KV,11,528,0
201944,NS,2024-09-25,,954,0,1,RTD,BD,2,ICNG25,10,520,0
24883,NS,2024-09-25,,955,0,1,BD,RTD,2,ICNG25,10,520,0
89201,NS,2024-09-25,,955,0,2,RTD,SHL,2,ICNG25,10,520,0
120435,NS,2024-09-25,,955,0,3,SHL,ASD,2,ICNG25,10,520,0
144072,NS,2024-09-25,,956,0,1,ASD,SHL,3,ICNG25,10,520,0
100546,NS,2024-09-25,,956,0,2,SHL,RTD,3,ICNG25,10,520,0
152345,NS,2024-09-25,,956,0,3,RTD,BD,2,ICNG25,10,520,0
152634,NS,2024-09-25,,959,0,1,BD,RTD,2,ICNG25,13,676,0
90566,NS,2024-09-25,,959,0,2,RTD,SHL,2,ICNG25,13,676,0
171203,NS,2024-09-25,,959,0,3,SHL,ASD,2,ICNG25,13,676,0
173279,NS,2024-09-25,,960,0,1,ASD,SHL,2,ICNG25,13,676,0
202568,NS,2024-09-25,,960,0,2,SHL,RTD,2,ICNG25,13,676,0
57931,NS,2024-09-25,,960,0,3,RTD,BD,2,ICNG25,13,676,0
42003,NS,2024-09-25,,963,0,1,BD,RTD,2,SW9-25KV,11,528,0
168090,NS,2024-09-25,,963,0,2,RTD,SHL,2,SW9-25KV,11,528,0
34709,NS,2024-09-25,,963,0,3,SHL,ASD,2,SW9-25KV,11,528,0
85528,NS,2024-09-25,,964,0,1,ASD,SHL,2,SW9-25KV,11,528,0
149924,NS,2024-09-25,,964,0,2,SHL,RTD,2,SW9-25KV,11,528,0
144529,NS,2024-09-25,,964,0,3,RTD,BD,2,SW9-25KV,11,528,0
1080,NS,2024-09-25,,967,0,1,BD,RTD,2,ICNG25,10,520,0
171184,NS,2024-09-25,,967,0,2,RTD,SHL,2,ICNG25,10,520,0
190672,NS,2024-09-25,,967,0,3,SHL,ASD,2,ICNG25,10,520,0
69561,NS,2024-09-25,,968,0,1,ASD,SHL,2,ICNG25,10,520,0
94417,NS,2024-09-25,,968,0,2,SHL,RTD,2,ICNG25,10,520,0
153196,NS,2024-09-25,,968,0,3,RTD,BD,2,ICNG25,10,520,0
161241,NS,2024-09-25,,971,0,1,BD,RTD,2,ICNG25,13,676,0
108269,NS,2024-09-25,,971,0,2,RTD,SHL,2,ICNG25,13,676,0
200205,NS,2024-09-25,,971,0,3,SHL,ASD,2,ICNG25,13,676,0
79632,NS,2024-09-25,,972,0,1,ASD,SHL,2,ICNG25,13,676,0
115768,NS,2024-09-25,,972,0,2,SHL,RTD,2,ICNG25,13,676,0
163175,NS,2024-09-25,,972,0,3,RTD,BD,2,ICNG25,13,676,0
176438,NS,2024-09-25,,976,0,1,ASD,SHL,2,SW9-25KV,11,528,0
131347,NS,2024-09-25,,976,0,2,SHL,RTD,2,SW9-25KV,11,528,0
167232,NS,2024-09-25,,978,0,1,RTD,BD,2,SW9-25KV,11,528,0
88254,NS,2024-09-26,,907,0,1,BD,RTD,3,ICNG25,10,520,0
22794,NS,2024-09-26,,907,0,2,RTD,SHL,4,ICNG25,10,520,0
167760,NS,2024-09-26,,907,0,3,SHL,ASD,3,ICNG25,10,520,0
