From,To,Difference,Maximum seats,Minimum seats
Oisterwijk,Tilburg,34354.0,68264.0,33910.0
Haren,Assen,33728.0,63828.0,30100.0
Hollandsche Rading,Hilversum Sportpark,32606.0,51582.0,18976.0
Utrecht Overvecht,Hollandsche Rading,32606.0,51582.0,18976.0
Hilversum Sportpark,Hilversum,32606.0,51582.0,18976.0
Groningen Europapark,Haren,31928.0,63828.0,31900.0
Heeze,Geldrop,30451.0,95257.0,64806.0
Maarheeze,Heeze,30451.0,95257.0,64806.0
Weert,Maarheeze,30451.0,95257.0,64806.0
Geldrop,Eindhoven Centraal,30451.0,95257.0,64806.0
Akkrum,Heerenveen,30104.0,46679.0,16575.0
Amsterdam Muiderpoort,Amsterdam Amstel,28698.0,150654.0,121956.0
Leiden Lammenschans,Leiden Centraal,27864.0,47304.0,19440.0
Alphen a/d Rijn,Leiden Lammenschans,27864.0,47304.0,19440.0
Hoevelaken,Amersfoort Centraal,27453.0,45131.0,17678.0
Almelo,Wierden,27410.0,66761.0,39351.0
Woerden,Bodegraven,27324.0,46764.0,19440.0
Bodegraven,Alphen a/d Rijn,27324.0,46764.0,19440.0
Hoorn,Hoorn Kersenboogerd,26850.0,69850.0,43000.0
Duivendrecht,Amsterdam Bijlmer ArenA,26698.0,150654.0,123956.0
Amsterdam Amstel,Duivendrecht,26698.0,150654.0,123956.0
Lage Zwaluwe,Breda-Prinsenbeek,26388.0,26918.0,530.0
Dordrecht,Dordrecht Zuid,26261.0,81191.0,54930.0
Dordrecht Zuid,Lage Zwaluwe,26261.0,81191.0,54930.0
Lelystad Centrum,Almere Oostvaarders,25876.0,84484.0,58608.0
Enschede Kennispark,Hengelo,25426.0,56411.0,30985.0
Hengelo,Borne,25426.0,56411.0,30985.0
Borne,Almelo de Riet,25426.0,56411.0,30985.0
Enschede,Enschede Kennispark,25426.0,56411.0,30985.0
Almelo de Riet,Almelo,25426.0,56411.0,30985.0
Arnhem Centraal,Arnhem Velperpoort,25290.0,71119.0,45829.0
Heerenveen,Wolvega,24479.0,46679.0,22200.0
's-Hertogenbosch,'s-Hertogenbosch Oost,23403.0,67441.0,44038.0
