,From,To,Seats
362,NMH,NM,15255.0
363,SK,SKND,12564.0
364,SKND,MG,12564.0
365,MG,LW,12564.0
366,STV,KMW,7272.0
367,KMW,HNP,7272.0
368,HNP,WK,7272.0
369,WK,IJT,7272.0
370,IJT,SK,7272.0
371,HLGH,HLG,10638.0
372,HLG,FN,10638.0
373,FN,DRP,10638.0
374,DRP,DEI,10638.0
375,DEI,LW,10638.0
376,LW,LWC,22590.0
377,LWC,HDG,22590.0
378,HDG,FWD,22590.0
379,FWD,DWE,22590.0
380,DWE,BP,22590.0
381,BP,GK,22590.0
382,GK,ZH,22590.0
383,ZH,GN,23220.0
384,EEM,RD,5040.0
385,RD,UHM,10530.0
386,UHM,UHZ,10530.0
387,UHZ,UST,10530.0
388,UST,WFM,10530.0
389,WFM,BF,10530.0
390,BF,WSM,10530.0
391,WSM,SWD,10530.0
392,SWD,GNN,20160.0
393,GNN,GN,20160.0
394,DZ,DZW,9630.0
395,DZW,APG,9630.0
396,APG,LP,9630.0
397,LP,STM,9630.0
398,STM,BDM,9630.0
399,BDM,SWD,9630.0
400,ZB,VDM,5490.0
401,GR,BHDV,18495.0
402,BHDV,GND,18495.0
403,GND,HBZM,18495.0
404,HBZM,SDT,18495.0
405,SDT,SDTB,18495.0
406,SDTB,DDRS,18495.0
407,DDRS,DDR,18495.0
408,GDM,BSD,10125.0
409,BSD,LDM,10125.0
410,LDM,AKL,10125.0
411,AKL,GR,10125.0
412,NVD,RAT,26049.0
413,RAT,HNO,26049.0
414,HNO,ZL,26049.0
415,KPN,ZLSH,17784.0
416,ZLSH,ZL,17784.0
417,ED,EDC,12996.0
418,EDC,LTN,12996.0
419,LTN,BNZ,12996.0
420,BNZ,BNC,29925.0
421,BNC,BNN,29925.0
422,BNN,HVL,29925.0
