,index,From,To,Seats,geometry,color
10,112,IJT,SK,36666.0,"LINESTRING (675484.9253267644 5877107.925913031, 677220.1883724327 5878659.349102033, 677297.0064056932 5878724.544575335, 677375.9568510475 5878786.479276366, 677450.6772661777 5878853.827253515, 677519.1562389366 5878926.514011845, 677593.9135261853 5878992.752217754, 677740.6168395835 5879128.469350999, 677844.5479369301 5879222.517902006)","[1.0, 0.9019607843137255, 0.0]"
11,111,WK,IJT,36666.0,"LINESTRING (664970.4958817491 5872011.365424206, 665056.0138414544 5872124.525856717, 665352.7343650451 5872526.636102819, 665527.8538972182 5872769.816493303, 665588.9079847598 5872850.97047149, 665764.0794569962 5873091.935745704, 666474.4571541573 5874061.773492801, 666593.8503884927 5874222.902740172, 666657.0339363358 5874299.692283908, 666723.609133909 5874375.486812428, 666791.6398786879 5874447.992438684, 666863.8103400087 5874517.30229215, 666938.0688915798 5874584.458851968, 667015.1251604587 5874648.373375139, 667095.0178285502 5874707.9338666145, 667176.9601268424 5874766.453535202, 667260.4356990855 5874819.460652441, 667346.6707088074 5874870.3383457055, 667435.7425976149 5874916.8625086695, 667524.9289827818 5874960.051976336, 667617.5460841224 5875001.135747015, 667710.3555003518 5875036.660702467, 667804.6218764698 5875068.897899156, 667900.3841964989 5875096.735293653, 667997.5650430399 5875122.397220499, 668096.281099901 5875142.547388799, 668194.442137693 5875159.339769729, 668292.7193008859 5875172.797793764, 668394.5063763415 5875181.926754038, 668493.7263057065 5875187.627515743, 670491.7145168433 5875296.98815372, 670892.4905744394 5875323.456146126, 671493.1969883053 5875357.080334127, 671695.1425185264 5875364.283218435, 671894.9559662446 5875374.759006536, 673194.2642557909 5875446.970776521, 673292.5271625019 5875460.531281605, 673391.2200346021 5875480.790622538, 673486.9879481238 5875507.627862099, 673577.2673362873 5875537.609687787, 673673.2223702389 5875577.820159515, 673764.2788282856 5875623.423468573, 673850.4365141114 5875674.419341304, 673933.0370041904 5875730.85603257, 674011.4092537684 5875792.70909527, 674086.9350844481 5875858.914779855, 675484.9253267644 5877107.925913031)","[1.0, 0.9019607843137255, 0.0]"
12,65,EST,ZA,36810.0,"LINESTRING (696345.9609780667 5755652.106309744, 696437.1246397136 5754645.653785615, 696433.7280470894 5754504.093855099, 696429.459028694 5754454.92809057, 696420.4193221565 5754404.4614736745, 696412.0129418545 5754372.9508525515, 696390.3855136884 5754309.740715258, 696378.452656563 5754280.318964889, 696345.7327429178 5754218.900975612, 696288.3492559189 5754136.47111943, 696219.523170521 5754064.72928888, 696173.460460423 5754027.288506416, 696109.6885661365 5753984.69983758, 696054.3343759023 5753955.804869529, 696002.1137822317 5753934.828392011, 695915.5893765662 5753910.2823006725, 695855.3667341683 5753900.130024733, 695789.4239035685 5753895.322623246, 695766.6826433372 5753895.546582623, 695664.2345365793 5753908.243896931, 695565.7761796499 5753942.2572258515, 695474.6678916955 5753982.1273933295, 695381.6279750261 5754018.582974377, 695286.6129069538 5754052.7359644985, 695194.8646563117 5754091.472403414, 695100.4534881059 5754127.879462377, 692792.2690133485 5755092.950114684, 692235.8979314918 5755324.31282468, 692191.9381361497 5755339.326721597, 692141.102637501 5755354.076878926, 692094.5211408723 5755365.650283992, 691993.9660458686 5755384.060480025, 691844.1611066381 5755393.902350017, 687237.9050773443 5755606.853843595)","[1.0, 0.9019607843137255, 0.0]"
13,63,AH,AHZ,36810.0,"LINESTRING (699076.073601489 5763346.16483131, 698907.3210579111 5763370.61673784, 698808.1299569549 5763392.277284412, 698618.5424944643 5763439.295153616, 698569.4464311135 5763446.250087695, 698114.2767067659 5763480.496449832, 698015.7982461668 5763484.382440826, 697914.1522111903 5763481.462888232, 697813.6587656547 5763484.159279486, 697712.8315560615 5763477.935388513, 697412.7432401974 5763468.279728999, 697360.5692654545 5763466.215584253, 697285.9606210268 5763457.696676347, 697214.9601032946 5763444.867013217, 697170.0464224044 5763433.069235604, 697118.3992881649 5763417.664967894, 697063.4510767846 5763398.789997672, 696993.1956460107 5763367.061410488, 696935.9392889882 5763336.960556531, 696884.3060526869 5763303.741424963, 696817.4522450572 5763255.445392547, 696774.1434791299 5763220.328637521, 696741.6433177064 5763190.092944895, 696702.671854558 5763149.579810635, 696670.4337373022 5763112.673264681, 696638.9693157403 5763073.570214492, 696608.3661801658 5763030.046865235, 696564.4834375866 5762957.046599024, 696517.399401447 5762860.534821266, 696497.3990308961 5762809.634567663, 695982.807616631 5761291.598851254, 695952.8639454214 5761195.767241437, 695928.41351643 5761100.151456772, 695910.3179805821 5761000.330794884, 695897.6726852371 5760901.837686511, 695891.2520660276 5760802.475246102, 695889.6827325854 5760702.189551784, 695894.3387475999 5760601.034482065, 695961.334147786 5759875.367745103)","[1.0, 0.9019607843137255, 0.0]"
14,69,KTR,TL,36810.0,"LINESTRING (677604.672608752 5756550.350904211, 677345.0537034175 5756554.495998448, 677291.5163399023 5756550.370699591, 677095.5750280889 5756505.573267162, 677000.323989452 5756474.367048734, 676975.2051340701 5756464.57121532, 674997.6689695555 5755565.551676878, 674909.9638965878 5755514.611390066, 674732.1363148538 5755422.671069194, 674645.152543199 5755370.6476096725, 674554.3412202618 5755329.625264519, 674465.0974969794 5755283.092797321, 674374.2832350994 5755242.073789199, 674279.1871993607 5755205.36054431, 674183.9349704818 5755173.096952852, 673997.9006394929 5755098.711197578, 673901.8026104358 5755070.876960726, 673802.7987322478 5755047.396854268, 672312.9248636873 5754452.575750821, 670826.9184694635 5753856.122991839, 670640.0650818634 5753782.952741402, 669039.2892602556 5753209.858505918, 668946.8713027993 5753173.341226895, 668855.1774136948 5753135.73691936, 668486.5872194854 5752977.483547458, 668396.4493846779 5752934.374261168, 668308.485811873 5752888.000109081, 668220.6327605549 5752838.291632665, 668136.2920956372 5752786.4763162965, 668052.7495898928 5752731.349644922, 667970.6556766902 5752674.046631707, 667890.7727719102 5752612.366338072, 667812.3009990935 5752549.62151123, 667737.3413656843 5752484.769259168, 667663.8673524499 5752416.628340603, 667384.1936619068 5752130.080253218, 667312.810604408 5752060.901745658, 667221.268746704 5751976.579376114, 666921.612515935 5751709.430475266, 666770.9917216836 5751578.620040176, 666692.1346657015 5751505.862815915)","[1.0, 0.9019607843137255, 0.0]"
15,64,AHZ,EST,36810.0,"LINESTRING (695961.334147786 5759875.367745103, 696077.7570173787 5758609.31819428, 696345.9609780667 5755652.106309744)","[1.0, 0.9019607843137255, 0.0]"
16,67,HMN,OP,36810.0,"LINESTRING (683854.7970840377 5755771.958808212, 683742.9294641644 5755781.208847815, 683644.0434659424 5755793.164858508, 681319.8071731976 5756100.277552704)","[1.0, 0.9019607843137255, 0.0]"
17,66,ZA,HMN,36810.0,"LINESTRING (687237.9050773443 5755606.853843595, 684244.070788178 5755745.086926154, 683854.7970840377 5755771.958808212)","[1.0, 0.9019607843137255, 0.0]"
18,68,OP,KTR,36810.0,"LINESTRING (681319.8071731976 5756100.277552704, 678782.9616631905 5756435.3591935225, 677987.6125854847 5756542.814104479, 677896.4417980328 5756551.816402832, 677788.2053476229 5756556.873451745, 677690.7147350344 5756550.067857449, 677604.672608752 5756550.350904211)","[1.0, 0.9019607843137255, 0.0]"
19,29,MTR,EDN,39330.0,"LINESTRING (691311.7597711158 5635396.547086573, 691334.0485417175 5635327.23195461, 691347.2353025577 5635275.394051583, 691356.7386453503 5635227.873639639, 691368.8693710362 5635128.126721918, 691373.6076768882 5634980.237556995, 691416.6675928675 5632180.867400447, 691455.4124892745 5629880.087254803, 691457.7948794973 5629680.903194812, 691456.49878531 5629581.776385639, 691451.0147075485 5629481.382414646, 691442.0063168929 5629380.858951078, 691430.096492908 5629282.455412219, 691413.9571851171 5629183.8965306245, 691395.7434681288 5629084.148292158, 691362.9103178047 5628940.44652931, 691207.3257914705 5628410.39600532, 691121.1506093617 5628123.357735115, 691076.1010708485 5627965.851966448)","[1.0, 0.8823529411764706, 0.0]"
