,From,To,Seats
299,FVS,BRESSX,5814.0
300,BRESSX,LUIK,5814.0
301,WW,WWW,7020.0
302,WWW,LTV,7020.0
303,LTV,RL,7020.0
304,RL,VD,7020.0
305,VD,ZP,7020.0
306,WW,ATN,7065.0
307,ATN,VSV,7065.0
308,VSV,TBG,7065.0
309,TBG,GDR,7740.0
310,GDR,DTC,7740.0
311,DTC,DTCH,8685.0
312,DTCH,WL,8685.0
313,WL,DID,8685.0
314,DID,ZV,8685.0
315,ZV,DVN,8685.0
316,DVN,WTV,8685.0
317,WTV,AHP,8685.0
318,HDB,MRB,5640.0
319,MRB,VHP,2340.0
320,VHP,DA,2340.0
321,DA,VZ,2340.0
322,VZ,AML,2340.0
323,EST,ZA,2700.0
324,ZA,HMN,2700.0
325,HMN,OP,2700.0
326,OP,KTR,2700.0
327,KTR,TL,2700.0
328,ODZ,HGLO,6370.0
329,HGLO,HGL,6370.0
330,HGL,HGLG,6370.0
331,HGLG,DDN,6370.0
332,DDN,GO,6370.0
333,GO,LC,6240.0
334,LC,ZP,6240.0
335,LG,EGH,4215.0
336,EGH,CVM,4215.0
337,CVM,KRD,4215.0
338,RM,SM,8055.0
339,SM,RV,8055.0
340,RV,TG,8055.0
341,TG,VL,8055.0
342,BR,VRY,8235.0
343,VRY,VLB,8235.0
344,VLB,BMR,8235.0
345,BMR,CK,8235.0
346,CK,MMLH,8235.0
347,MMLH,NMH,8235.0
348,NMH,NM,8235.0
349,LW,LWC,10962.0
350,LWC,HDG,10962.0
351,HDG,FWD,10962.0
352,FWD,DWE,10962.0
353,DWE,BP,10962.0
354,BP,GK,10962.0
355,GK,ZH,10962.0
356,ZH,GN,10962.0
357,EEM,RD,1080.0
358,RD,UHM,3690.0
359,UHM,UHZ,3690.0
360,UHZ,UST,3690.0
361,UST,WFM,3690.0
362,WFM,BF,3690.0
363,BF,WSM,3690.0
364,WSM,SWD,3690.0
365,SWD,GNN,7200.0
366,GNN,GN,7200.0
367,DZ,DZW,3510.0
368,DZW,APG,3510.0
369,APG,LP,3510.0
370,LP,STM,3510.0
371,STM,BDM,3510.0
372,BDM,SWD,3510.0
373,ZL,DL,3690.0
374,DL,OMN,3690.0
375,OMN,MRB,3690.0
376,HDB,GBG,3690.0
377,GBG,CO,3690.0
378,CO,DLN,3690.0
379,DLN,NA,3690.0
380,NA,EMNZ,3690.0
381,EMNZ,EMN,3690.0
382,GR,BHDV,8235.0
383,BHDV,GND,8235.0
384,GND,HBZM,8235.0
385,HBZM,SDT,8235.0
386,SDT,SDTB,8235.0
387,SDTB,DDRS,8235.0
388,DDRS,DDR,8235.0
389,GDM,BSD,4860.0
390,BSD,LDM,4860.0
391,LDM,AKL,4860.0
392,AKL,GR,4860.0
393,WDN,NVD,12426.0
394,NVD,RAT,12426.0
395,RAT,HNO,12426.0
396,HNO,ZL,12426.0
397,KPN,ZLSH,17784.0
398,ZLSH,ZL,17784.0
399,ED,EDC,11628.0
400,EDC,LTN,11628.0
401,LTN,BNZ,11628.0
402,BNZ,BNC,11628.0
403,BNC,BNN,11628.0
404,BNN,HVL,11628.0
