,From,To,Seats
365,NMH,NM,15210.0
366,SK,SKND,12717.0
367,SKND,MG,12717.0
368,MG,LW,12717.0
369,STV,KMW,7578.0
370,KMW,HNP,7578.0
371,HNP,WK,7578.0
372,WK,IJT,7578.0
373,IJT,SK,7578.0
374,HLGH,HLG,10638.0
375,HLG,FN,10638.0
376,FN,DRP,10638.0
377,DRP,DEI,10638.0
378,DEI,LW,10638.0
379,LW,LWC,22590.0
380,LWC,HDG,22590.0
381,HDG,FWD,22590.0
382,FWD,DWE,22590.0
383,DWE,BP,22590.0
384,BP,GK,22590.0
385,GK,ZH,22590.0
386,ZH,GN,23220.0
387,EEM,RD,5040.0
388,RD,UHM,10530.0
389,UHM,UHZ,10530.0
390,UHZ,UST,10530.0
391,UST,WFM,10530.0
392,WFM,BF,10530.0
393,BF,WSM,10530.0
394,WSM,SWD,10530.0
395,SWD,GNN,20160.0
396,GNN,GN,20160.0
397,DZ,DZW,9630.0
398,DZW,APG,9630.0
399,APG,LP,9630.0
400,LP,STM,9630.0
401,STM,BDM,9630.0
402,BDM,SWD,9630.0
403,ZB,VDM,5220.0
404,GR,BHDV,18495.0
405,BHDV,GND,18495.0
406,GND,HBZM,18495.0
407,HBZM,SDT,18495.0
408,SDT,SDTB,18495.0
409,SDTB,DDRS,18495.0
410,DDRS,DDR,18495.0
411,GDM,BSD,9990.0
412,BSD,LDM,9990.0
413,LDM,AKL,9990.0
414,AKL,GR,9990.0
415,WDN,NVD,26961.0
416,NVD,RAT,26961.0
417,RAT,HNO,26961.0
418,HNO,ZL,26961.0
419,KPN,ZLSH,14877.0
420,ZLSH,ZL,14877.0
421,ED,EDC,12996.0
422,EDC,LTN,12996.0
423,LTN,BNZ,12996.0
424,BNZ,BNC,23256.0
425,BNC,BNN,23256.0
426,BNN,HVL,23256.0
