,index,From,To,Seats,geometry,color
24,265,HNO,ZL,7752.0,"LINESTRING (6.22136 52.42737, 6.21976 52.42838, 6.21869 52.42901, 6.19719 52.44256, 6.16539 52.46255, 6.13254 52.48314, 6.1305 52.48445, 6.1285 52.48579, 6.12646 52.48711, 6.11004 52.49739, 6.10901 52.49803, 6.1079 52.49862, 6.10706 52.49899, 6.10669 52.49914, 6.10542 52.49958, 6.09855 52.50221, 6.09826 52.50235, 6.0973 52.50272, 6.09611 52.50323, 6.0949 52.50369, 6.09358 52.50412, 6.09194 52.50472)","[1.0, 0.9647058823529412, 0.0]"
25,264,RAT,HNO,7752.0,"LINESTRING (6.27766 52.39176, 6.27391 52.39409, 6.24429 52.41285, 6.22485 52.42513, 6.22136 52.42737)","[1.0, 0.9647058823529412, 0.0]"
26,262,WDN,NVD,7752.0,"LINESTRING (6.59165 52.36147, 6.58621 52.36119, 6.58531 52.36118, 6.58255 52.36102, 6.58108 52.36096, 6.57962 52.36094, 6.57817 52.36094, 6.53263 52.36159, 6.53117 52.36161, 6.5297 52.36165, 6.52676 52.3618, 6.50403 52.36337, 6.50195 52.36355, 6.49761 52.36402, 6.49616 52.36416, 6.4947 52.36429, 6.49103 52.36456, 6.48594 52.36489, 6.47425 52.3657, 6.46987 52.36599, 6.46203 52.36639)","[1.0, 0.9647058823529412, 0.0]"
27,263,NVD,RAT,7752.0,"LINESTRING (6.46203 52.36639, 6.45962 52.36653, 6.44647 52.36743, 6.445 52.36752, 6.44354 52.36758, 6.44061 52.36774, 6.39535 52.37086, 6.39244 52.37113, 6.35918 52.37479, 6.30128 52.38114, 6.29983 52.38133, 6.29842 52.38156, 6.29702 52.38184, 6.29616 52.38204, 6.29503 52.38234, 6.2936 52.38277, 6.29299 52.38297, 6.29173 52.38344, 6.29102 52.38372, 6.28993 52.3842, 6.28886 52.38473, 6.28823 52.38507, 6.28717 52.38569, 6.28003 52.39021, 6.27905 52.39087, 6.27766 52.39176)","[1.0, 0.9647058823529412, 0.0]"
28,111,APD,HVL,9025.0,"LINESTRING (5.97028 52.20928, 5.96643 52.2094, 5.96512 52.2094, 5.96482 52.20938, 5.96284 52.20919, 5.96205 52.20906, 5.96069 52.20875, 5.96001 52.20856, 5.95875 52.20813, 5.95812 52.20788, 5.9575 52.20761, 5.95577 52.20681, 5.95115 52.2046, 5.95003 52.20404, 5.94888 52.20349, 5.9408 52.19964, 5.93503 52.19686, 5.92923 52.1941, 5.92578 52.19243, 5.92341 52.19135, 5.92284 52.19113, 5.92159 52.19068, 5.92018 52.19026, 5.91953 52.19009, 5.91816 52.18979, 5.91675 52.18953, 5.91531 52.18933, 5.91386 52.18919, 5.91241 52.18912, 5.91095 52.18911, 5.91025 52.18912, 5.90878 52.1892, 5.90732 52.18933, 5.90516 52.18964, 5.9023 52.19007, 5.89804 52.19073, 5.89236 52.19159, 5.88667 52.19248, 5.88383 52.19291, 5.87896 52.19366, 5.87816 52.1938, 5.87677 52.19409, 5.87544 52.19444, 5.87478 52.19464, 5.87341 52.19511, 5.86416 52.19866, 5.86166 52.1996, 5.86038 52.20004, 5.85976 52.20022, 5.85905 52.20042, 5.85772 52.20073, 5.85697 52.20088, 5.85558 52.20111, 5.85429 52.20128, 5.85276 52.20141, 5.85198 52.20145, 5.85052 52.20147, 5.84906 52.20143, 5.84761 52.20135, 5.76763 52.19535, 5.76327 52.19501, 5.76182 52.19491, 5.70953 52.19096, 5.70515 52.19062, 5.70375 52.19043, 5.70232 52.19016, 5.70093 52.18989, 5.69538 52.18876, 5.694 52.18846, 5.68149 52.1859, 5.67453 52.18451, 5.67316 52.18421, 5.67249 52.18405, 5.6718 52.18385, 5.6705 52.18344, 5.60714 52.16288, 5.60654 52.1627, 5.60578 52.16252, 5.60513 52.16239, 5.60438 52.16228, 5.60364 52.16221, 5.60293 52.16216, 5.6014 52.1621, 5.59992 52.16209, 5.59702 52.16212, 5.59556 52.16212, 5.59034 52.16216, 5.5868 52.16217, 5.58095 52.16222, 5.56926 52.16233, 5.52974 52.16265, 5.52828 52.16263, 5.51659 52.16229, 5.51512 52.16229, 5.51367 52.16234, 5.5064 52.16287, 5.47736 52.16501, 5.45717 52.16648)","[1.0, 0.9568627450980393, 0.0]"
29,112,HVL,AMF,9025.0,"LINESTRING (5.45717 52.16648, 5.44105 52.16767, 5.43962 52.16782, 5.4382 52.16803, 5.41273 52.17211, 5.41131 52.17231, 5.40987 52.17244, 5.40843 52.17248, 5.40697 52.17245, 5.40559 52.17233, 5.40417 52.17214, 5.40282 52.17186, 5.40152 52.17151, 5.40027 52.17108, 5.39909 52.17059, 5.39797 52.17005, 5.39691 52.16945, 5.39682 52.16939, 5.3962 52.16872, 5.3952 52.16801, 5.3944 52.16727, 5.389 52.16302, 5.37913 52.15508, 5.37866 52.15474, 5.3781 52.15441, 5.3775 52.15414, 5.37686 52.15393, 5.37617 52.15376, 5.37547 52.15365, 5.37489 52.15359, 5.37421 52.15358, 5.37059 52.15346)","[1.0, 0.9568627450980393, 0.0]"
30,252,DWE,BP,11358.0,"LINESTRING (6.03465 53.24813, 6.0354 53.24827, 6.03619 53.2484, 6.03687 53.24848, 6.03836 53.24862, 6.0978 53.25367, 6.12745 53.25617, 6.12893 53.25628, 6.13043 53.25636, 6.13192 53.2564, 6.14464 53.25638)","[1.0, 0.9490196078431372, 0.0]"
31,248,LW,LWC,11358.0,"LINESTRING (5.79218 53.19596, 5.79318 53.19607, 5.79474 53.19636, 5.79553 53.19652, 5.79616 53.19667, 5.79654 53.19673, 5.80204 53.19739, 5.80351 53.19755, 5.82265 53.1998, 5.82855 53.20048, 5.83001 53.20063, 5.83147 53.20082, 5.84232 53.20208)","[1.0, 0.9490196078431372, 0.0]"
32,249,LWC,HDG,11358.0,"LINESTRING (5.84232 53.20208, 5.85943 53.20407, 5.87412 53.20579, 5.87707 53.20612, 5.89474 53.20818, 5.89768 53.20854, 5.89912 53.20876, 5.90055 53.20904, 5.90194 53.20938, 5.90329 53.20976, 5.92622 53.21651, 5.93026 53.21768, 5.93162 53.21806, 5.93444 53.21889)","[1.0, 0.9490196078431372, 0.0]"
33,255,ZH,GN,11358.0,"LINESTRING (6.40601 53.24838, 6.41085 53.24681, 6.41219 53.24641, 6.4135 53.246, 6.4228 53.24301, 6.42411 53.24256, 6.42538 53.24207, 6.42663 53.24156, 6.42781 53.24103, 6.42899 53.24048, 6.48108 53.2149, 6.48227 53.21436, 6.48283 53.21414, 6.48355 53.21391, 6.48416 53.21374, 6.48492 53.21356, 6.48634 53.21328, 6.48699 53.21318, 6.48782 53.21308, 6.4982 53.21228, 6.52489 53.21016, 6.52785 53.20993, 6.52936 53.20985, 6.53084 53.2098, 6.53233 53.20977, 6.53383 53.20977, 6.53683 53.20985, 6.5474 53.2102, 6.55039 53.21026, 6.55786 53.21051, 6.5597 53.21058, 6.56082 53.21056, 6.56384 53.21062, 6.56471 53.21065)","[1.0, 0.9490196078431372, 0.0]"
