,From,To,Seats
391,LDM,AKL,9585.0
392,AKL,GR,9585.0
393,WDN,NVD,12312.0
394,NVD,RAT,12312.0
395,RAT,HNO,12312.0
396,HNO,ZL,12312.0
397,KPN,ZLSH,16872.0
398,ZLSH,ZL,16872.0
399,ED,EDC,13680.0
400,EDC,LTN,13680.0
401,LTN,BNZ,13680.0
402,BNZ,BNC,20007.0
403,BNC,BNN,20007.0
404,BNN,HVL,20007.0
